,tags,channelId,channelTitle,categoryId,title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
47,"['Channel 4 News', 'china', 'virus', 'china virus', 'coronavirus', 'virus in china', 'china news', 'china disease', 'covid-19', 'corona', 'boris johnson', 'coronavirus uk', 'coronavirus what is it', 'coronavirus china 2020', 'coronavirus outbreak in china', 'new china virus', 'virus infection explained', 'british man dies coronavirus', 'british man coronavirus', 'coronavirus britain', 'coronavirus in ni', 'coronavirus wales', 'wuhan', 'china virus wuhan', 'wuhan virus', 'wuhan coronavirus', 'coronavirus timeline', 'quarantine']",UCTrQ7HXWRRxr7OsOtodr2_w,Channel 4 News,25,Boris Johnson reveals coronavirus plans - as disease spreads in UK,9EZJnBYMrtQ,243295,1533,199,1260,0
48,"['coronavirus', 'covid-19', 'death', 'toll', 'King', 'County', 'Washington', 'gma', 'abc', 'news', 'p_cmsid=2494279', 'p_vid=news-69332377', 'coronavirus symptoms', 'coronavirus nyc', 'florida coronavirus', 'rhode island coronavirus', 'us news', 'breaking news', 'coronavirus update today', 'coronavirus death us', 'coronavirus news', 'coronavirus outbreak']",UCBi2mrWuNuyYy4gbM6fU18Q,ABC News,25,"2 Americans dead from coronavirus as global death toll reaches over 3,000 l ABC News",fF9qnNVRWHs,212750,1982,163,1900,0
49,"['coronavirus', 'death toll', 'deaths', 'killed', 'patients', 'outbreak', 'cases', 'hospital', 'Washington', 'state', 'Health', 'U.S.', 'Travel', 'COVID-19', 'disease', 'infectious disease', 'King County', 'Snohomish County']",UC8p1vwvWtl6T73JiExfWs1g,CBS News,25,Coronavirus death toll rises in Washington state,JJOLuT56FVg,226781,1507,261,2314,0
0,"['coronavirus', 'cases', 'sick', 'NY', 'man', 'Westchester', 'public', 'school', 'district', 'closed', '1000', 'people', 'quarantined', 'ABC', 'NEWS', 'WNT', 'p_cmsid=2494279', 'p_vid=news-69397096']",UCBi2mrWuNuyYy4gbM6fU18Q,ABC News,25,Coronavirus cases linked to sick NY man jumps to 11 | WNT,bDX5SxQP7LI,12249,1256,104,826,0
1,"['Telegraph', 'News']",UCPgLNge0xqQHWM5B5EFH9Cg,The Telegraph,25,What happens to your body when you get coronavirus,2bI5pQGXl2o,298663,2990,178,[],0
2,"['Nightly News', 'Health', 'Coronavirus', 'NBC Nightly News with Lester Holt']",UCeY0bbntWzzVIaj2z3QigXg,NBC News,25,"Coronavirus: WHO Says Death Toll Rising, Expert Says 80% Of Cases ‘Spontaneously Recover’ | NBC News",fbqD5zD-yXg,584933,4161,543,3081,0
3,"['video', 'cbs', 'news', 'coronavirus', 'death toll', 'rising', 'washington', 'seattle', 'los angeles new york city']",UCAeWdyKJXGWmVAXFpgLNNTg,CBS Evening News,25,California reports first coronavirus death,zzUm8IhVTKo,3430,305,39,252,0
4,"['coronavirus', 'covid19', 'corona', 'outbreak', 'pandemic', 'epidemic', 'plan', 'uk', 'nhs', 'panic', 'fear', 'worry', 'cases', 'england', 'scotland', 'wales', 'northern ireland', 'wash hands', 'how does it affect me', 'what do i do', 'how bad', 'economics', 'money', 'jobs', 'work', 'bbc', 'interview', 'snp', 'spiegelhalter', 'professor', 'expert', 'experts', 'analysis', 'explain', 'how', 'why', 'explainer']",UC6o-wWU-v2ClFMwougmK7dA,BBC Newsnight,25,Coronavirus cases pass 50 as UK publishes its plan - BBC Newsnight,icXrtkBuYsg,439019,2166,369,2574,0
5,"['NYC', 'disinfecting', 'trains', 'buses', 'stations', '110', 'cases', 'US', 'ABC', 'NEWS', 'WNT', 'p_cmsid=2494279', 'p_vid=news-69368826', 'coronavirus', 'updates', 'symptoms', 'preparation', 'city', 'testing', 'hospital', 'doctor', '2020', 'world news tonight', 'outbreak', 'NYC subway', 'MTA', 'coronavirus cases NYC']",UCBi2mrWuNuyYy4gbM6fU18Q,ABC News,25,"NYC disinfecting trains, stations as coronavirus cases grow nationwide | WNT",EpJhCvT7zMs,233155,2505,136,1514,0
6,"['coronavirus', 'corona virus', 'coronavirus update', 'coronavirus outbreak', 'covid-19', 'novel coronavirus', 'corona virus update', 'coronavirus pandemic', 'coronavirus death toll', 'covid-19 outbreak', 'italy coronavirus', 'coronavirus us', 'coronavirus spread', 'coronavirus cases', 'coronavirus transmission', 'coronavirus news', 'coronavirus epidemic', 'coronavirus latest news', 'coronavirus prevention', 'coronavirus washington', 'SARScov2', 'coronavirus testing', 'coronavirus test', 'coronavirus south korea', 'covid19']",UCG-iSMVtWbbwDDXgXXypARQ,MedCram - Medical Lectures Explained CLEARLY,27,"Coronavirus Epidemic Update 29: Testing problems, mutations, COVID-19 in Washington &amp; Iran",XjEacUyp4vY,338667,7667,188,2179,0
